covariate_analysis_id,covariate_analysis_name,analysis_id
413,DrugGroupEraOverlapping,1
903,Chads2,1
210,ConditionGroupEraLongTerm,1
702,MeasurementLongTerm,1
5,DemographicsEthnicity,1
710,MeasurementRangeGroupLongTerm,1
902,Dcsi,1
602,DeviceExposureLongTerm,1
1,DemographicsGender,1
504,ProcedureOccurrenceShortTerm,1
7,DemographicsIndexMonth,1
802,ObservationLongTerm,1
804,ObservationShortTerm,1
604,DeviceExposureShortTerm,1
212,ConditionGroupEraShortTerm,1
4,DemographicsRace,1
904,Chads2Vasc,1
6,DemographicsIndexYear,1
901,CharlsonIndex,1
502,ProcedureOccurrenceLongTerm,1
704,MeasurementShortTerm,1
412,DrugGroupEraShortTerm,1
3,DemographicsAgeGroup,1
410,DrugGroupEraLongTerm,1
413,DrugGroupEraOverlapping,2
903,Chads2,2
210,ConditionGroupEraLongTerm,2
702,MeasurementLongTerm,2
5,DemographicsEthnicity,2
710,MeasurementRangeGroupLongTerm,2
902,Dcsi,2
602,DeviceExposureLongTerm,2
1,DemographicsGender,2
504,ProcedureOccurrenceShortTerm,2
7,DemographicsIndexMonth,2
802,ObservationLongTerm,2
804,ObservationShortTerm,2
604,DeviceExposureShortTerm,2
212,ConditionGroupEraShortTerm,2
4,DemographicsRace,2
904,Chads2Vasc,2
6,DemographicsIndexYear,2
901,CharlsonIndex,2
502,ProcedureOccurrenceLongTerm,2
704,MeasurementShortTerm,2
412,DrugGroupEraShortTerm,2
3,DemographicsAgeGroup,2
410,DrugGroupEraLongTerm,2
413,DrugGroupEraOverlapping,3
903,Chads2,3
210,ConditionGroupEraLongTerm,3
702,MeasurementLongTerm,3
5,DemographicsEthnicity,3
710,MeasurementRangeGroupLongTerm,3
902,Dcsi,3
602,DeviceExposureLongTerm,3
1,DemographicsGender,3
504,ProcedureOccurrenceShortTerm,3
7,DemographicsIndexMonth,3
802,ObservationLongTerm,3
804,ObservationShortTerm,3
604,DeviceExposureShortTerm,3
212,ConditionGroupEraShortTerm,3
4,DemographicsRace,3
904,Chads2Vasc,3
6,DemographicsIndexYear,3
901,CharlsonIndex,3
502,ProcedureOccurrenceLongTerm,3
704,MeasurementShortTerm,3
412,DrugGroupEraShortTerm,3
3,DemographicsAgeGroup,3
410,DrugGroupEraLongTerm,3
413,DrugGroupEraOverlapping,4
903,Chads2,4
210,ConditionGroupEraLongTerm,4
702,MeasurementLongTerm,4
5,DemographicsEthnicity,4
710,MeasurementRangeGroupLongTerm,4
902,Dcsi,4
602,DeviceExposureLongTerm,4
1,DemographicsGender,4
504,ProcedureOccurrenceShortTerm,4
7,DemographicsIndexMonth,4
802,ObservationLongTerm,4
804,ObservationShortTerm,4
604,DeviceExposureShortTerm,4
212,ConditionGroupEraShortTerm,4
4,DemographicsRace,4
904,Chads2Vasc,4
6,DemographicsIndexYear,4
901,CharlsonIndex,4
502,ProcedureOccurrenceLongTerm,4
704,MeasurementShortTerm,4
412,DrugGroupEraShortTerm,4
3,DemographicsAgeGroup,4
410,DrugGroupEraLongTerm,4
413,DrugGroupEraOverlapping,5
903,Chads2,5
210,ConditionGroupEraLongTerm,5
702,MeasurementLongTerm,5
5,DemographicsEthnicity,5
710,MeasurementRangeGroupLongTerm,5
902,Dcsi,5
602,DeviceExposureLongTerm,5
1,DemographicsGender,5
504,ProcedureOccurrenceShortTerm,5
7,DemographicsIndexMonth,5
802,ObservationLongTerm,5
804,ObservationShortTerm,5
604,DeviceExposureShortTerm,5
212,ConditionGroupEraShortTerm,5
4,DemographicsRace,5
904,Chads2Vasc,5
6,DemographicsIndexYear,5
901,CharlsonIndex,5
502,ProcedureOccurrenceLongTerm,5
704,MeasurementShortTerm,5
412,DrugGroupEraShortTerm,5
3,DemographicsAgeGroup,5
410,DrugGroupEraLongTerm,5
413,DrugGroupEraOverlapping,6
903,Chads2,6
210,ConditionGroupEraLongTerm,6
702,MeasurementLongTerm,6
5,DemographicsEthnicity,6
710,MeasurementRangeGroupLongTerm,6
902,Dcsi,6
602,DeviceExposureLongTerm,6
1,DemographicsGender,6
504,ProcedureOccurrenceShortTerm,6
7,DemographicsIndexMonth,6
802,ObservationLongTerm,6
804,ObservationShortTerm,6
604,DeviceExposureShortTerm,6
212,ConditionGroupEraShortTerm,6
4,DemographicsRace,6
904,Chads2Vasc,6
6,DemographicsIndexYear,6
901,CharlsonIndex,6
502,ProcedureOccurrenceLongTerm,6
704,MeasurementShortTerm,6
412,DrugGroupEraShortTerm,6
3,DemographicsAgeGroup,6
410,DrugGroupEraLongTerm,6
413,DrugGroupEraOverlapping,7
903,Chads2,7
210,ConditionGroupEraLongTerm,7
702,MeasurementLongTerm,7
5,DemographicsEthnicity,7
710,MeasurementRangeGroupLongTerm,7
902,Dcsi,7
602,DeviceExposureLongTerm,7
1,DemographicsGender,7
504,ProcedureOccurrenceShortTerm,7
7,DemographicsIndexMonth,7
802,ObservationLongTerm,7
804,ObservationShortTerm,7
604,DeviceExposureShortTerm,7
212,ConditionGroupEraShortTerm,7
4,DemographicsRace,7
904,Chads2Vasc,7
6,DemographicsIndexYear,7
901,CharlsonIndex,7
502,ProcedureOccurrenceLongTerm,7
704,MeasurementShortTerm,7
412,DrugGroupEraShortTerm,7
3,DemographicsAgeGroup,7
410,DrugGroupEraLongTerm,7
413,DrugGroupEraOverlapping,8
903,Chads2,8
210,ConditionGroupEraLongTerm,8
702,MeasurementLongTerm,8
5,DemographicsEthnicity,8
710,MeasurementRangeGroupLongTerm,8
902,Dcsi,8
602,DeviceExposureLongTerm,8
1,DemographicsGender,8
504,ProcedureOccurrenceShortTerm,8
7,DemographicsIndexMonth,8
802,ObservationLongTerm,8
804,ObservationShortTerm,8
604,DeviceExposureShortTerm,8
212,ConditionGroupEraShortTerm,8
4,DemographicsRace,8
904,Chads2Vasc,8
6,DemographicsIndexYear,8
901,CharlsonIndex,8
502,ProcedureOccurrenceLongTerm,8
704,MeasurementShortTerm,8
412,DrugGroupEraShortTerm,8
3,DemographicsAgeGroup,8
410,DrugGroupEraLongTerm,8
413,DrugGroupEraOverlapping,9
903,Chads2,9
210,ConditionGroupEraLongTerm,9
702,MeasurementLongTerm,9
5,DemographicsEthnicity,9
710,MeasurementRangeGroupLongTerm,9
902,Dcsi,9
602,DeviceExposureLongTerm,9
1,DemographicsGender,9
504,ProcedureOccurrenceShortTerm,9
7,DemographicsIndexMonth,9
802,ObservationLongTerm,9
804,ObservationShortTerm,9
604,DeviceExposureShortTerm,9
212,ConditionGroupEraShortTerm,9
4,DemographicsRace,9
904,Chads2Vasc,9
6,DemographicsIndexYear,9
901,CharlsonIndex,9
502,ProcedureOccurrenceLongTerm,9
704,MeasurementShortTerm,9
412,DrugGroupEraShortTerm,9
3,DemographicsAgeGroup,9
410,DrugGroupEraLongTerm,9
413,DrugGroupEraOverlapping,10
903,Chads2,10
210,ConditionGroupEraLongTerm,10
702,MeasurementLongTerm,10
5,DemographicsEthnicity,10
710,MeasurementRangeGroupLongTerm,10
902,Dcsi,10
602,DeviceExposureLongTerm,10
1,DemographicsGender,10
504,ProcedureOccurrenceShortTerm,10
7,DemographicsIndexMonth,10
802,ObservationLongTerm,10
804,ObservationShortTerm,10
604,DeviceExposureShortTerm,10
212,ConditionGroupEraShortTerm,10
4,DemographicsRace,10
904,Chads2Vasc,10
6,DemographicsIndexYear,10
901,CharlsonIndex,10
502,ProcedureOccurrenceLongTerm,10
704,MeasurementShortTerm,10
412,DrugGroupEraShortTerm,10
3,DemographicsAgeGroup,10
410,DrugGroupEraLongTerm,10
413,DrugGroupEraOverlapping,11
903,Chads2,11
210,ConditionGroupEraLongTerm,11
702,MeasurementLongTerm,11
5,DemographicsEthnicity,11
710,MeasurementRangeGroupLongTerm,11
902,Dcsi,11
602,DeviceExposureLongTerm,11
1,DemographicsGender,11
504,ProcedureOccurrenceShortTerm,11
7,DemographicsIndexMonth,11
802,ObservationLongTerm,11
804,ObservationShortTerm,11
604,DeviceExposureShortTerm,11
212,ConditionGroupEraShortTerm,11
4,DemographicsRace,11
904,Chads2Vasc,11
6,DemographicsIndexYear,11
901,CharlsonIndex,11
502,ProcedureOccurrenceLongTerm,11
704,MeasurementShortTerm,11
412,DrugGroupEraShortTerm,11
3,DemographicsAgeGroup,11
410,DrugGroupEraLongTerm,11
413,DrugGroupEraOverlapping,12
903,Chads2,12
210,ConditionGroupEraLongTerm,12
702,MeasurementLongTerm,12
5,DemographicsEthnicity,12
710,MeasurementRangeGroupLongTerm,12
902,Dcsi,12
602,DeviceExposureLongTerm,12
1,DemographicsGender,12
504,ProcedureOccurrenceShortTerm,12
7,DemographicsIndexMonth,12
802,ObservationLongTerm,12
804,ObservationShortTerm,12
604,DeviceExposureShortTerm,12
212,ConditionGroupEraShortTerm,12
4,DemographicsRace,12
904,Chads2Vasc,12
6,DemographicsIndexYear,12
901,CharlsonIndex,12
502,ProcedureOccurrenceLongTerm,12
704,MeasurementShortTerm,12
412,DrugGroupEraShortTerm,12
3,DemographicsAgeGroup,12
410,DrugGroupEraLongTerm,12
